Year,Age,Read for Fun,Percent,Odds,Odds Ratio
2008,9,Once or twice a week,23.0,0.298701,0.768089
2008,9,Once or twice a month,8.0,0.086957,1.15528
2008,9,A few times a year,8.0,0.086957,2.811594
2008,9,Never or hardly ever,14.0,0.162791,1.645995
2008,13,Almost every day,26.0,0.351351,0.65251
2008,13,Once or twice a week,25.0,0.333333,0.619048
2008,13,Once or twice a month,13.0,0.149425,0.917898
2008,13,A few times a year,12.0,0.136364,1.811688
2008,13,Never or hardly ever,24.0,0.315789,3.631579
2008,17,Almost every day,20.0,0.25,0.556452
2008,17,Once or twice a week,22.0,0.282051,0.57265
2008,17,Once or twice a month,17.0,0.204819,1.0
2008,17,A few times a year,16.0,0.190476,1.714286
2008,17,Never or hardly ever,24.0,0.315789,3.192982
2012,9,Almost every day,53.0,1.12766,1.0
2012,9,Once or twice a week,23.0,0.298701,0.768089
2012,9,Once or twice a month,7.0,0.075269,1.0
2012,9,A few times a year,7.0,0.075269,2.433692
2012,9,Never or hardly ever,11.0,0.123596,1.249688
2012,13,Almost every day,27.0,0.369863,0.686888
2012,13,Once or twice a week,26.0,0.351351,0.65251
2012,13,Once or twice a month,14.0,0.162791,1.0
2012,13,A few times a year,11.0,0.123596,1.642055
2012,13,Never or hardly ever,22.0,0.282051,3.24359
2012,17,Almost every day,19.0,0.234568,0.522103
2012,17,Once or twice a week,21.0,0.265823,0.539701
2012,17,Once or twice a month,16.0,0.190476,0.929972
2012,17,A few times a year,18.0,0.219512,1.97561
2012,17,Never or hardly ever,27.0,0.369863,3.739726
2020,9,Almost every day,42.0,0.724138,0.64216
2020,9,Once or twice a week,25.0,0.333333,0.857143
2020,9,Once or twice a month,9.0,0.098901,1.313972
2020,9,A few times a year,8.0,0.086957,2.811594
2020,9,Never or hardly ever,16.0,0.190476,1.925926
2020,13,Almost every day,17.0,0.204819,0.380379
2020,13,Once or twice a week,23.0,0.298701,0.554731
2020,13,Once or twice a month,16.0,0.190476,1.170068
2020,13,A few times a year,15.0,0.176471,2.344538
2020,13,Never or hardly ever,29.0,0.408451,4.697183
2022,9,Almost every day,39.0,0.639344,0.566966
2022,9,Once or twice a week,25.0,0.333333,0.857143
2022,9,Once or twice a month,10.0,0.111111,1.47619
2022,9,A few times a year,9.0,0.098901,3.197802
2022,9,Never or hardly ever,16.0,0.190476,1.925926
2023,13,Almost every day,14.0,0.162791,0.302326
2023,13,Once or twice a week,22.0,0.282051,0.52381
2023,13,Once or twice a month,17.0,0.204819,1.258176
2023,13,A few times a year,16.0,0.190476,2.530612
2023,13,Never or hardly ever,31.0,0.449275,5.166667
