Year,ID,Activity,Percent
2017,TUU30105AA01005442,Socializing and communicating (except social events),34.1
2017,TUU30105AA01005514,Attending or hosting social events,2.6
2017,TUU30105AA01005658,Relaxing and thinking,20.6
2017,TUU30105AA01005910,Playing games,11.4
2017,TUU30105AA01006114,"Computer use for leisure, excluding games",12.7
2017,TUU30105AA01006315,Reading for personal interest,18.7
2017,TUU30105AA01006567,Arts and entertainment (other than sports),3.0
2017,TUU30105AA01014236,Watching TV,77.7
2018,TUU30105AA01005442,Socializing and communicating (except social events),33.8
2018,TUU30105AA01005514,Attending or hosting social events,2.1
2018,TUU30105AA01005658,Relaxing and thinking,20.1
2018,TUU30105AA01005910,Playing games,11.3
2018,TUU30105AA01006114,"Computer use for leisure, excluding games",12.6
2018,TUU30105AA01006315,Reading for personal interest,17.5
2018,TUU30105AA01006567,Arts and entertainment (other than sports),3.3
2018,TUU30105AA01014236,Watching TV,78.4
2019,TUU30105AA01005442,Socializing and communicating (except social events),33.6
2019,TUU30105AA01005514,Attending or hosting social events,2.0
2019,TUU30105AA01005658,Relaxing and thinking,18.8
2019,TUU30105AA01005910,Playing games,11.7
2019,TUU30105AA01006114,"Computer use for leisure, excluding games",13.3
2019,TUU30105AA01006315,Reading for personal interest,18.0
2019,TUU30105AA01006567,Arts and entertainment (other than sports),3.0
2019,TUU30105AA01014236,Watching TV,77.9
2021,TUU30105AA01005442,Socializing and communicating (except social events),28.1
2021,TUU30105AA01005514,Attending or hosting social events,1.4
2021,TUU30105AA01005658,Relaxing and thinking,21.8
2021,TUU30105AA01005910,Playing games,14.0
2021,TUU30105AA01006114,"Computer use for leisure, excluding games",14.0
2021,TUU30105AA01006315,Reading for personal interest,17.9
2021,TUU30105AA01006567,Arts and entertainment (other than sports),1.5
2021,TUU30105AA01014236,Watching TV,78.0
2022,TUU30105AA01005442,Socializing and communicating (except social events),27.5
2022,TUU30105AA01005514,Attending or hosting social events,1.8
2022,TUU30105AA01005658,Relaxing and thinking,21.6
2022,TUU30105AA01005910,Playing games,14.4
2022,TUU30105AA01006114,"Computer use for leisure, excluding games",13.5
2022,TUU30105AA01006315,Reading for personal interest,16.7
2022,TUU30105AA01006567,Arts and entertainment (other than sports),2.3
2022,TUU30105AA01014236,Watching TV,76.5
2023,TUU30105AA01005442,Socializing and communicating (except social events),27.7
2023,TUU30105AA01005514,Attending or hosting social events,2.2
2023,TUU30105AA01005658,Relaxing and thinking,21.2
2023,TUU30105AA01005910,Playing games,14.7
2023,TUU30105AA01006114,"Computer use for leisure, excluding games",13.7
2023,TUU30105AA01006315,Reading for personal interest,16.2
2023,TUU30105AA01006567,Arts and entertainment (other than sports),2.2
2023,TUU30105AA01014236,Watching TV,73.7
2024,TUU30105AA01005442,Socializing and communicating (except social events),28.9
2024,TUU30105AA01005514,Attending or hosting social events,1.7
2024,TUU30105AA01005658,Relaxing and thinking,20.6
2024,TUU30105AA01005910,Playing games,15.3
2024,TUU30105AA01006114,"Computer use for leisure, excluding games",13.0
2024,TUU30105AA01006315,Reading for personal interest,16.1
2024,TUU30105AA01006567,Arts and entertainment (other than sports),2.2
2024,TUU30105AA01014236,Watching TV,72.8
