Year,ID,Activity,Percent,Odds,Odds Ratio
2016,TUU30105AA01006315,Reading for personal interest,19.5,0.242236,0.678813
2016,TUU30105AA01006567,Arts and entertainment (other than sports),2.8,0.028807,0.729261
2016,TUU30105AA01014236,Watching TV,79.1,3.784689,1.018216
2017,TUU30105AA01005370,"Socializing, relaxing, and leisure",94.4,16.857143,0.868559
2017,TUU30105AA01005910,Playing games,11.4,0.128668,1.520924
2017,TUU30105AA01006114,"Computer use for leisure, excluding games",12.7,0.145475,1.628615
2017,TUU30105AA01006315,Reading for personal interest,18.7,0.230012,0.644559
2017,TUU30105AA01006567,Arts and entertainment (other than sports),3.0,0.030928,0.782963
2017,TUU30105AA01014236,Watching TV,77.7,3.484305,0.937402
2018,TUU30105AA01005370,"Socializing, relaxing, and leisure",94.2,16.241379,0.836832
2018,TUU30105AA01005910,Playing games,11.3,0.127396,1.505883
2018,TUU30105AA01006114,"Computer use for leisure, excluding games",12.6,0.144165,1.613942
2018,TUU30105AA01006315,Reading for personal interest,17.5,0.212121,0.594423
2018,TUU30105AA01006567,Arts and entertainment (other than sports),3.3,0.034126,0.863931
2018,TUU30105AA01014236,Watching TV,78.4,3.62963,0.976499
2019,TUU30105AA01005370,"Socializing, relaxing, and leisure",94.1,15.949153,0.821775
2019,TUU30105AA01005910,Playing games,11.7,0.132503,1.566251
2019,TUU30105AA01006114,"Computer use for leisure, excluding games",13.3,0.153403,1.71736
2019,TUU30105AA01006315,Reading for personal interest,18.0,0.219512,0.615135
2019,TUU30105AA01006567,Arts and entertainment (other than sports),3.0,0.030928,0.782963
2019,TUU30105AA01014236,Watching TV,77.9,3.524887,0.94832
2021,TUU30105AA01005370,"Socializing, relaxing, and leisure",95.2,19.833333,1.021907
2021,TUU30105AA01005910,Playing games,14.0,0.162791,1.92427
2021,TUU30105AA01006114,"Computer use for leisure, excluding games",14.0,0.162791,1.822462
2021,TUU30105AA01006315,Reading for personal interest,17.9,0.218027,0.610972
2021,TUU30105AA01006567,Arts and entertainment (other than sports),1.5,0.015228,0.38552
2021,TUU30105AA01014236,Watching TV,78.0,3.545455,0.953853
2022,TUU30105AA01005370,"Socializing, relaxing, and leisure",93.8,15.129032,0.779519
2022,TUU30105AA01005910,Playing games,14.4,0.168224,1.988497
2022,TUU30105AA01006114,"Computer use for leisure, excluding games",13.5,0.156069,1.747216
2022,TUU30105AA01006315,Reading for personal interest,16.7,0.20048,0.561802
2022,TUU30105AA01006567,Arts and entertainment (other than sports),2.3,0.023541,0.59597
2022,TUU30105AA01014236,Watching TV,76.5,3.255319,0.875797
2023,TUU30105AA01005370,"Socializing, relaxing, and leisure",92.6,12.513514,0.644755
2023,TUU30105AA01005910,Playing games,14.7,0.172333,2.037064
2023,TUU30105AA01006114,"Computer use for leisure, excluding games",13.7,0.158749,1.777209
2023,TUU30105AA01006315,Reading for personal interest,16.2,0.193317,0.54173
2023,TUU30105AA01006567,Arts and entertainment (other than sports),2.2,0.022495,0.569476
2023,TUU30105AA01014236,Watching TV,73.7,2.802281,0.753913
2024,TUU30105AA01005370,"Socializing, relaxing, and leisure",93.0,13.285714,0.684543
2024,TUU30105AA01005910,Playing games,15.3,0.180638,2.135228
2024,TUU30105AA01006114,"Computer use for leisure, excluding games",13.0,0.149425,1.672834
2024,TUU30105AA01006315,Reading for personal interest,16.1,0.191895,0.537744
2024,TUU30105AA01006567,Arts and entertainment (other than sports),2.2,0.022495,0.569476
2024,TUU30105AA01014236,Watching TV,72.8,2.676471,0.720066
