Year,Jurisdiction,Almost every day,Once or twice a week,Once or twice a month,A few times a year,Never or hardly ever
2023,National,14,22,17,16,31
2020,National,17,23,16,15,29
2012,National,27,26,14,11,22
2008,National,26,25,13,12,24
2004,National,30,34,15,9,13
1999,National,28,36,17,10,9
1996,National,32,31,15,9,13
1994,National,32,32,14,10,12
1992,National,37,32,13,8,9
1990,National,35,32,13,9,11
1988,National,36,31,15,8,10
1984,National,35,35,14,7,8
