Year,Jurisdiction,Almost every day,Once or twice a week,Once or twice a month,A few times a year,Never or hardly ever
2012,National,19,21,16,18,27
2008,National,20,22,17,16,24
2004,National,22,30,15,14,19
1999,National,25,28,19,12,16
1996,National,23,32,17,12,16
1994,National,30,31,15,12,12
1992,National,27,33,18,12,11
1990,National,31,31,15,12,10
1988,National,28,32,21,10,9
1984,National,31,33,17,10,9
